Author	Quote
	Great things are done when men and mountains meet. This is not done by jostling in the street.
Virginia Woolf	Growing up is losing some illusions, in order to acquire others.
Andrena Sawyer	Guard your heart, mind and time. Those three things will determine the health of everything else in your life.
WELLINGTON	Habit is ten times nature.
Debasish Mridha	Hapliness will grow if ewe plant teh seeds of luv in teh garden of hope with compassoin and kare.
Viktor E. Frankl	Happiness cannot be pursued; it must ensue.
Marguerite Gardiner	Happiness consists not in having much, but in being content with little.
Tom Magliozzi	Happiness equals reality minus expectations.
Aeschylus	Happiness is a choice that requires effort at times.
Steve Maraboli	Happiness is a state of mind, a choice, a way of living; it is not something to be achieved, it is something to be experienced.
Maria von Heland	Happiness is answering your calling.
Rahul Shrivastava	Happiness is standalone element. It's not connected to anything. Least of all to power, wealth, fame or material objects.
Mahatma Gandhi	Happiness is when what you think, what you say, and what you so are in harmony.
Lailah Gifty Akita	Happiness lies in hope.
unknown	Happy is as happy does.
Margaret Mitchell	Hardships make or break people.
JOHN TASKINSOY	Having fun at what you do for work is going to substantially increase the possibility of you becoming successful.
Benjamin Franklin	He who can have patience can have what he will.
Friedrich Nietzsche	He who has a why to live for can bear almost any how.
HABBINGTON	He who is good is happy.
Stephen King	He who speaks without an attentive ear is mute.
Earl of Clarendon	He will be looked upon by posterity as a brave bad man.
Roy T. Bennett	Help others without any reason and give without the expectation of receiving anything in return.
Anders Indset	Helpfulness is the enemy of greed
Jason Mraz	Heres to freedom, cheers to art. Heres to having an excellent adventure and may the stopping never start.
Thomas Babington Macaulay	His imagination resembled the wings of an ostrich. It enabled him to run, though not to soar.
Anonymous	History doesn't repeat itself, it just stutters.
Thomas Carlyle	History is a great dust heap.
Ted Koppel	History is a tool used by politicians to justify their intentions.
Lawrence Goldstone	History is an ocean that books help us to navigate.
Voltaire	History is filled with the sound of silken slippers going downstairs and wooden shoes coming up.
Frederick Maurice Powicke	History is full of the dead weight of things which have escaped the control of the mind, yet drive man on with a blind force.
Jacob Burckhardt	History is the record of what one age finds worthy of note in another.
Author Unknown	History teaches us the mistakes we are going to make.
	History tells us who accomplished great feats, with studious research can we discover their motivation.
Vaclav Havel	Hope is not a feeling of certainty that everything ends well. Hope is just a feeling that life and work have a meaning.
Lisa Scottoline	How do you tell the psychiatrists from the patients in the hospital? The patients get better and leave.
Debasish Mridha, M.D.	How far you will go is defined by your attitude and enthusiasm.
Gail Carriger	How ghastly for her, people actually thinking, with their brains, and right next door. Oh, the travesty of it all.
Anne O'Brien	How grief and the passage of years can leave their mark. How the burden of duty can wear away the body's resilience
Mehmet Murat ildan	How important things you will achieve in life will be determined by how many times you shall act bravely in life!
Felix Long	How is something authorised as 'feng shui compliant' he wondered. Is there a Chinese Ministry of Magic?
Unknown	How many golfers does it take to change a light bulb? FORE!
Craig Thompson	How satisfying it is to leave a mark on a blank surface. To make a map of my movement - no matter how temporary.
Anne Frank	How wonderful it is that nobody need wait a single moment before starting to improve the world.
Stephen Hawking	However bad life may seem, there is always something you can do and succeed at. Where there's life, there's hope.
Stephen Richards	Human beings are incredibly slow, Cosmic Ordering is incredibly fast!
Isaac Asimov	Human beings can easily destroy every elephant on earth, but we are helpless against the mosquito.
	Humanity is never so beautiful as when praying for forgiveness, or else forgiving another.
T.S. Eliot	Humor is also a way of saying something serious.
	Hurdles can be leapt over or plowed through.  Rarely does one deploy monster trucks for the task.
Oscar Wilde	I always pass on good advice. It is the only thing to do with it. It is never of any use to oneself.
Diana Wynne Jones	I am a believer in free will. If my dog chooses to hate the whole human race except myself, it must be free to do so.
Enola Holmes	I am a detective, I am a decipherer, and I am a finder of lost souls. My life is my own. And the future is up to us.
Terry Pratchett	I am a great fan of science, but I cannot do a quadratic equation.
Qamar Rafiq	I am a rusty machine with weary parts in search of my inventor.
	I am always sorry when any language is lost, because languages are the pedigrees of nations.
Shannon Drake	I am learning, and I believe I shall do quite well.
Gabrielle Aplin	I am never without my lyric book. If anything inspirational happens, I have it there so nothing's forgotten.
Tana French	I am not good at noticing when I'm happy, except in retrospect.
Johann Wolfgang von Goethe	I am not omniscient, but I know a lot.
Nelson Mandela	I am the captain of my soul.
T.H. Huxley	I am too much of a skeptic to deny the possibility of anything.
Garrison Keillor	I believe in looking reality straight in the eye and denying it.
	I believe in the possibility of miracles but more to the point, I believe in our need for them.
Unknow	I bought a book titled "How To Scam People Online" about three months ago... It still hasn't arrived.
Jimmy Dean	I can't change the direction of the wind, but I can adjust my sails to always reach my destination.
Herbert Bayard Swope	I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.
Dale Wasserman	I come in a world of iron...to make a world of gold
Patricia Cornwell	I didn't invent forensic science and medicine. I just was one of the first people to recognize how interesting it is.
Osric Chau	I do like alternative rock and rap, but as far as inspirational, then I go full-on orchestra. It fills up your entire being.
Isaac Asimov	I do not fear computers. I fear the lack of them.
Jane Austen	I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal.
Sebastian Vettel	I don't care too much what happened in the past. I prefer to focus on what is coming next and I am really looking forward to it.
Melanie White	I don't eat pumpkin pie. It's made from the guts of jack-o-lanterns, and that's just spooky.
Katherine Cebrian	I don't even butter my bread; I consider that cooking.
Dorothy Parker	I don't know much about being a millionaire, but I'll bet I'd be darling at it.
Eoin Colfer	I don't like lollipops.
Paolo Coelho	I don't regret the painful times; I bare my scars as if they were medals.
Emily Dickinson	I dwell in possibility.
Georgette Heyer	I feel an almost overwhelming interest in the methods of daylight abduction employed by the modern youth.
Unknown	I feel like I'm diagonally parked in a parallel universe.
Groucho Marx	I find television very educational. Every time someone turns it on, I go in the other room and read a book.
Steven Magee	I find that a little bit of crazy is an essential ingredient of discovery.
A.P.J. Abdul Kalam	I firmly believe that unless one has tasted the bitter pill of failure, one cannot aspire enough for success.
Abraham Lincoln	I fully appreciate the present peril the country is in, and the weight of responsibility on me.
Unknown	I got a job in a health club, but they said I wasn't fit for the job.
Kurt Vonnegut	I had no talent for science. What was infinitely worse: all my fraternity brothers were engineers.
Edmund Husserl	I had to philosophize. Otherwise, I could not live in this world.
Woody Allen	I hate reality but it's still the best place to get a good steak.
Steven Wright	I have a quantum car. Every time I look at the speedometer I get lost...
Melinda Chapman	I have a shocking memory - I remember everything.
	I have just returned from Boston. It is the only sane thing to do if you find yourself up there.
Albert Einstein	I have no special talents. I am only passionately curious.
Oscar Wilde	I have nothing to declare except my genius.
Sylvia Plath	I have stitched life into me like a rare organ
Oscar Wilde	I have the simplest tastes. I am always satisfied with the best.
Oliver Edwards	I have tried too in my time to be a philosopher; but, I don't know how, cheerfulness was always breaking in.
Abraham Lincoln	I have understood well that the duty of self-preservation rests solely with the American people.
Audrey Hepburn	I heard a definition once: Happiness is health and a short memory! I wish I'd invented it, because it is very true.
Steven Wright	I just got out of the hospital. I was in a speed reading accident. I hit a book mark and flew across the room.
Milton Shulman	I knew a mathematician who said 'I do not know as much as God. But I know as much as God knew at my age'.
Matt Groening	I know all those words, but that sentence makes no sense to me.
Dana Reinhardt	I know certain truths about life.
Socrates 469-399 B.C.	I know nothing except the fact of my ignorance.
Sarah Dessen	I like flaws. I think they make things interesting.
Autre Ne Veut	I like pop music. Earnestly. Most of the greatest technicians, mix engineers, and players are working in pop music.
Unknown	I like to finish other people's sentences because... my version is better.
Bumper sticker.	I like you, but I wouldn't want to see you working with subatomic particles.
Sally Ride	I liked math - that was my favorite subject - and I was very interested in astronomy and in physical science.
Gurjeet Singh	I lived in fear that other engineers would stop me in the street and ask me a math question, and I wouldn't know the answer.
Peter De Vries	I love being a writer. What I can't stand is the paperwork.
	I love the valiant; but it is not enough to wield a broadsword, one must also know against whom.
douglas adams	I may not have gone where I intended to go, but I think I have ended up where I needed to be.
Darynda Jones	I may not look like much, but I'm an expert at pretending to be a ninja.
Mark Twain	I must have a prodigious amount of mind; it takes me as much as a week, sometimes, to make it up!
Calvin Trillin	I never did very well in math - I could never seem to persuade the teacher that I hadn't meant my answers literally.
Prince Philip	I never see any home cooking. All I get is fancy stuff.
Albert Einstein	I never think of the future - it comes soon enough.
Oscar Wilde	I never travel without my diary. One should always have something sensational to read in the train.
Nicolaus Copernicus	I often considered whether there could perhaps be found a more reasonable arrangement of circles.
Socrates	I only know that I know nothing
Dodie Smith	I only want to write. And there's no college for that except life.
Jen Hatmaker	I pray for your kindness more than your success, because the latter without the former is a tragedy.
Steven Wright	I put tape on the mirrors in my house so I don't accidentally walk through into another dimension.
Jon Krakauer	I read somewhere... how important it is in life not necessarily to be strong, but to feel strong... to measure yourself at least once.
Taylor Swift	I rode an elevator with a guy who was whistling the tune of 'this is the song that never ends'. Putting that on me? Come on dude..
Lily Tomlin	I said "Somebody should do something about that." Then I realized I am somebody.
Denzel Washington	I say luck is when an opportunity comes along and you're prepared for it.
Albert Einstein	I speak to everyone in the same way, whether he is the garbage man or the president of the university.
A Bit of Fry and Laurie	I think animal testing is a terrible idea; they get all nervous and give the wrong answers.
Colin Morgan	I think anyone who has a passion for what they love to do, and who pursue it, is inspirational for me.
Charles Schultz	I think I've discovered the secret of life -- you just hang around until you get used to it.
Bruno Mars	I think that success is having fun.
Carl Sagan	I think the discomfort that some people feel in going to the monkey cages at the zoo is a warning sign.
Criss Jami	I think there is a song out there to describe just about any situation.
Unknown	I think therefore I can't get anything done.
	I think with the Romans, that the general of today should be a soldier tomorrow if necessary.
Unknown	I used some magic to make some fog laugh. It was mist tickle.
Unknown	I used to build stairs for a living, it's an up and down business.
Sally Ride	I was always very interested in science, and I knew that for me, science was a better long-term career than tennis.
Jack Kerouac	I was halfway across America, at the dividing line between the East of my youth and the West of my future.
A.P.J. Abdul Kalam	I was willing to accept what I couldn't change.
Mark Twain	I wish I could make him understand that a loving good heart is riches enough, and that without it intellect is poverty.
Bill Watterson	I wonder if you can refuse to inherit the world.
Antoine de Saint-Exupéry	I wonder, he said, whether the stars are set alight in heaven so that one day each one of us may find his own again...
Art Buchwald	I worship the quicksand he walks in.
Abraham Lincoln	I would like to speak in terms of praise due to the many brave officers and soldiers who have fought in the cause of the war.
Nicholas Sparks	I'd learned that some things are best kept secret.
John Maynard Keynes	Ideas shape the course of history.
Isaac Asimov	If a conclusion is not poetically balanced, it cannot be scientifically true.
Sunday Adelaja	If a person is not free, his right is restricted.
Jesse Andrews	If after reading this book you come to my home and brutally murder me, I do not blame you.
Rob Liano	If all the world's a stage, I suggest you start performing at your best.
David Brent	If at first you don't succeed, remove all evidence you ever tried.
Brian Vaszily	If being happy is important to you, try this: instead of regretting all you lack, celebrate all you've got.
Joyce Rachelle	If difficult times teach us the most important lessons, we should then learn to read difficult books.
Abhijit Naskar	If education were the same as information, the encyclopedias would be the greatest sages in the world.
J. Richard Gott	If ewe see an aunty madder version of yoursefl runnign twoards ewe, think twice befoer embarcing.
Neil deGrasse Tyson	If eye whir ever abducted buy aliens, the first thing eye'd ask is weather they came from a planet wear people also deny science.
Dave Barry	If God had wanted us to be concerned for the plight of the toads, he would have made them cute and furry.
Doris	If I can do it, you can do it. Anybody can.
Mahatma Gandhi	If I have the belief that I can do it, I shall surely acquire the capacity to do it even if I may not have it at the beginning.
- Neil deGrasse Tyson ‏@neiltyson	If I were ever abducted by aliens, the first thing I'd ask is whether they came from a planet where people also deny science.
	If it's a good idea, go ahead and do it. It's much easier to apologize than it is to get permission.
Christina Aguilera	If life is a journey, It can take you anywhere you wanna go.
Suzy Kassem	If life throws you a few bad notes or vibrations, don't let them interrupt or alter your song.
Steve Backley	If obstacles are large, jump higher.
Ian Stewart	If our brains were simple enough for us to understand them, we'd be so simple that we couldn't.
Stephen Colbert	If our Founding Fathers wanted us to care about the rest of the world, they wouldn't have declared their independence from it.
Albert Einstein	If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.
John von Neumann	If people do not believe that mathematics is simple, it is only because they do not realize how complicated life is.
	If people learn something about the news by watching the show, that is incidental to my goal.
Rick Riordan	If possible, try to avoid pushing each other over the edge, as that would cause me extra paperwork.
	If the aborigine drafted an IQ test, all of Western civilization would presumably flunk it.
Peter Ustinov	If the world should blow itself up, the last audible voice would be that of an expert saying it can't be done.
Johannes Brahms	If there is anyone here whom I have not insulted, I beg his pardon.
Ross Turner	If there was one advantage of the numerous lifetimes he'd been forced to endure, it was undoubtedly knowledge.
A. Bondoux	If there was one thing that life has taught me, it's to accept the most foolish and unthinkable happiness.
JOHN TASKINSOY	If there were formula for success, mathematicians would have definitely held the top spot in the world's richest list.
Edgar W. Howe	If there were no schools to take the children away from home part of the time, the insane asylums would be filled with mothers.
- Jake Vig ?@Jake_Vig	If there's a better way of showing thanks than eating a large bird followed by pie, I'd like to see it.
Atom Tate	If Time travel were possible, the future would have already taught the present to teach the past how to do it.
Thomas A. Edison	If we all did the things we are really capable of doing, we would literally astound ourselves.
	If we had no faults of our own, we should not take so much pleasure in noticing those in others.
Lailah Gifty Akita	If we listen, we shall learn.
Rand Miller	If you act for self-gain then no good can come of it. If you act selflessly, then you act well for all and you must not be afraid.
Gene Stratton-Porter	If you are lazy, and accept your lot, you may live in it. If you are willing to work, you can write your name anywhere you choose.
Jim Rohn	If you are not willing to risk the usual you will have to settle for the ordinary.
Wayne Dyer	If you blame others for something that happens in your life, then you must wait until they change in order to get better.
Eraldo Banovac	If you cannot solve a problem, ask someone who knows.
Sophie Kinsella	If you can't be honest with your friends and colleagues and loved ones, then what is life all about?
Bill Watterson	If you can't win by reason, go for volume.
Tony Robbins	If you do what you've always done, you'll get what you've always gotten.
Bogdan Vaida	If you don't keep track of great ideas, you'll stop noticing you have them.
Sonali Sinha	If you don't know where you are going, you will never get there.
unknown	If you don't laugh, you'll cry.
Dolly Parton	If you don't like the road you're walking, start paving another one.
Arthur R Marshall	If you don't synthesize knowledge, scientific journals become spare-parts catalogues for machines that are never built.
Mo Willems	If you ever find yourself in the wrong story, leave.
JOHN TASKINSOY	If you feel inferior all the time, this means that you regularly let people say and do to you whatever they feel like.
	If you follow reason far enough it always leads to conclusions that are contrary to reason.
Savas Dimopoulos	If you formulate your question properly, mathematics gives you the answer
Awolumate Samuel	If you go out without a plan, you will return home without any achievement.
Steve Maraboli	If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.
Marcus Tullius Cicero	If you have a garden and a library, you have everything you need.
	If you haven't had at least a slight poetic crack in the heart, you have been cheated by nature.
	If you knew that hope and despair were paths to the same destination, which would you choose?
Catherine Pulsifer	If you learned one new thing every day imagine what you would have learned in a year.
Lailah Gifty Akita	If you read good books, you will be well-informed.
	If you really love, if you really know how to laugh, the result is the same - you forget yourself.
James A. Michener	If you reject the food, ignore the customs, fear the religion, and avoid the people, you might better stay home.
Neil deGrasse Tyson	If you removed all the arteries, veins, & capillaries from a person's body, and tied them end-to-end…the person will die.
	If you surrender completely to the moments as they pass, you live more richly those moments.
Toni Morrison	If you surrendered to the air, you could ride it.
Ibrahim Mustapha	If you think of building your life the way you build a house, it can help you see how important having a strong foundation is
Olin Miller.	If you think there are no new frontiers, watch a boy ring the front doorbell on his first date.
Amit Ray	If you think world is a fun, a magic, a mystery, world will bring fun and mysteries for you.
Tolstoy Leo	If you want to be happy, be.
Steve Maraboli	If you want to find happiness, find gratitude.
Tommy Newberry	If you want to lead an extraordinary life, find out what the ordinary do–and don't do it.
unknown	If you want to succeed in anything you do, you have to find some fun in it.
Rajesh Walecha	If you're looking at the watch while working,better take rest.
Chad Sugg	If you're reading this… Congratulations, you're alive. If that's not something to smile about, then I don't know what is.
Mae West	I'll try anything once, twice if I like it, three times to make sure.
Tendai Chitewere	I'm a mathematical optimist: I deal only with positive integers.
Antonio Gramsci	I'm a pessimist because of intelligence, but an optimist because of will.
Unknown	I'm in the mood to multiply
Sanita Belgrave	Im learning more that some of life lessons are well hidden, but Im reporting today to SEEK the value of the unwritten.
Graham Parke	I'm looking into my past lives. I'm convinced some of them still owe me money.
A. Whitney Brown	I'm not a vegetarian because I love animals, I'm a vegetarian because I hate plants.
George Lucas	I'm not much of a math and science guy. I spent most of my time in school daydreaming and managed to turn it into a living.
Maya Banks	I'm not stubborn. My way is just better.
DeWayne Owens	I'm so optimistic my blood type is B Positive
Cassandra Clare	I'm sorry. I use my rapier wit to hide my inner pain.
Ellen DeGeneres	I'm thankful for each and every one of you. Now stop hiding in the broom closet reading tweets and get back with your family.
Steven Wright	I'm writing a book. I've got the page numbers done.
Francis Bacon	Imagination was given to man to compensate him for what he is not; a sense of humor to console him for what he is.
John Green	Imagine others complexly.
Fred Allen	Imitation is the sincerest form of television.
1 Thessalonians 5:18	In all things give thanks.
Tarun Sharma	In chaos is where learning happens the most.
Avi	In elementary school, I did well in science, but I was a poor writer. When I got to high school, I failed all my courses.
	In every profession the daily and common duties are the most useful.
Beth Kempton	In finding the courage and confidence to escape our cages and shine, we help others do the same.
Matthew Tysz	In life, there is no lesson greater than patience; and so, there is no teacher greater than a fool.
ROBERT HALL	In madders of cnoscience first thouhgts are bets, in madders of prudnece last thoughst aer bset.
A2K	In order to fail, you must try first.
unknown	In recalling their school years, students mostly remember their teachers, and not the courses they took.
Steven Wright	In school they told me Practice makes perfect. And then they told me Nobody's perfect, so then I stopped practicing.
Bruce Cockburn	In the absence of vision, there are nightmares.
Jim Butcher	In the action business, when you don't want to say you ran like a mouse, you call it 'taking cover.' It's more heroic.
Chris Chambers	In the battle between science and storytelling, there is simply no competition: storytelling wins every time.
Stanley Victor Paskavich	In the beginning the Poets and Philosophers taught the world to see. Then after that any form of education was no longer free.
Nicholas Sparks	In the end you should always do the right thing even if it's hard.
	In the hearts and minds of the people, the grapes of wrath were growing heavy for the vintage.
Terry Pratchett	In theory it was, around now, Literature. Susan hated Literature. She'd much prefer to read a good book.
Philemon	In this thing one man is superior to another, that he is better able to bear adversity and prosperity.
George Clason	In those things toward which we exerted our best endeavors we succeeded.
Robert Frost	In three words I can sum up everything I've learned about life: it goes on.
Janvier Chouteu-Chando	In today's world, human desires far supersede human needs. Waste, as you can see, is the result of that disparity.
Steve Maraboli	In your own life it's important to know how spectacular you are.
Santhosh Namballa	Inability to deal with a different ideology than one's own is the biggest disability a human can posses.
Sunday Adelaja	Individuals should take personal responsibility for knowledge acquisition and campaigns against ignorance.
Benjamin Franklin	Instead of cursing the darkness, light a candle.
Craig D. Lounsbrough	Intelligence and wisdom are certainly compatible, however they are rarely seen in each other's company.
Unknown	Intelligence is like an underwear. It is important that you have it, but not necessary that you show it off.
Steve Backley	Invest your energy in the things you can control.
Ahmed Zewail	Investing in science education and curiosity-driven research is investing in the future.
	Is it better to be the lover or the loved one? Neither, if your cholesterol is over six hundred.
Bertrand Russell	Is there any knowledge in the world which is so certain that no reasonable man could doubt it?
Kelvin Throop III	Isn't it interesting that the same people who laugh at science fiction listen to weather forecasts and economists?
Douglas Adams	It can hardly be a coincidence that no language on earth has ever produced the expression, 'As pretty as an airport.
Roy T. Bennett	It doesn't matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.
Jaachynma N.E. Agu	It doesn't matter how wealthy you may be in material things, what matters is do you know what to do with those wealth?
Dean Graziosi	It doesn't matter where you come from. It only matters where you are and where you want to go.
Bertrand Russell	It has been said that man is a rational animal. All my life I have been searching for evidence which could support this.
Carlyle.	It is a much shallower and more ignoble occupation to detect faults than to discover beauties.
Isaac Asimov	It is a sign of our power, and our criminal folly, that we can pollute the vast ocean and are doing so.
Abhijit Naskar	It is a tragedy of modern life that the light of truth scares the society much more than the darkness of ignorance.
Amelia Barr	It is always the simple that produces the marvelous.
Harry S. Truman	It is amazing what you can accomplish if you do not care who gets the credit.
John Bytheway	It is better to be respected than it is to be popular. Popularity ends on yearbook day, but respect lasts forever.
Theodore Roosevelt	It is hard to fail, but it is worse never to have tried to succeed.
Unknown	It is hard to understand how a cemetery raised its burial cost and blamed it on the cost of living.
Nick Powers	It is impossible to transcend the laws of nature. You can only determine that your understanding of nature has changed.
Anthony Robbins	It is in your moments of decision that your destiny is shaped.
	It is more difficult, and it calls for higher energies of soul, to live a martyr than to die one.
Friedrich Wilhelms Nietzsche	It is nobler to declare oneself wrong than to insist on being right --especially when one is right.
Lailah Gifty Akita	It is not how long the music last but how much we enjoy.
Charles Sprugeon	It is not how much we have, but how much we enjoy that makes happiness.
Samuil Shatunovsky	It is not the job of mathematicians... to do correct arithmetical operations. It is the job of bank accountants.
Edmund Hillary	It is not the mountain we conquer but ourselves.
MARILU HENNER	It is now common knowledge that the average American gains 7 pounds between Thanksgiving and New Year's Day.
Ralph Waldo Emerson	It is one of the beautiful compensations of life that no man can sincerely try to help another without helping himself.
Patricia Briggs	It is one of those lessons that every child should learn: Don't play with fire, sharp objects, or ancient artifacts.
Spencer Johnson	It is safer to search in the maze than to remain in a cheeseless situation
Emile Durkheim	It is science, and not religion, which has taught men that things are complex and difficult to understand.
Georg C. Lichtenberg	It is strange that only extraordinary men make the discoveries, which later appear so easy and simple.
Isaac Asimov	It is strange, but rocks, properly chosen and polished, can be as beautiful as flowers, and much more durable.
	It is the duty of the President to propose and it is the privilege of the Congress to dispose.
Isaac Asimov	It is the easiest thing in the world to deny a fact. People do it all the time. Yet it remains a fact just the same.
FROM THE LATIN	It is the greatest possible praise to be praised by a man who is himself deserving of praise.
Alexander Graham Bell	It is the man who carefully advances step by step...who is bound to succeed in the greatest degree.
	It is the privilege of genius that life never grows commonplace, as it does for the rest of us.
	It is the rare fortune of these days that one may think what one likes and say what one thinks.
Ralph Charell	It is through cooperation, rather than conflict, that your greatest successes will be derived.
Steve Maraboli	It only takes a split second to smile and forget, yet to someone that needed it, it can last a lifetime.
Carl Sagan	It pays to keep an open mind, but not so open your brains fall out.
Oliver Wendell Holmes, Jr.	It seems to me that at this time we need education in the obvious more than investigation of the obscure.
Oliver Wendell Holmes, Jr.	It seems two me that at this thyme wee knead edukashun inn the obvious more than investigation of the obscure.
Anne Morrow Lindbergh	it takes as much courage to have tried and failed as it does to have tried and succeded.
Brandon Sanderson	It was amazing how many books one could fit into a room, assuming one didn't want to move around very much.
Mary Shelley	It was the secrets of heaven and earth that I desired to learn.
Fanny Burney	It's a delightful thing to think of perfection; but it's vastly more amusing to talk of errors and absurdities.
Steve Maraboli	It's a lack of clarity that creates chaos and frustration. Those emotions are poison to any living goal.
Norman Vincent Peale	It's always too soon to quit.
Haruki Murakami	It's easy to forget things you don't need anymore.
Isaac Asimov	It's humbling to think that all animals, including human beings, are parasites of the plant world.
	Its impossible two walk threw solid rock... Ewe halve two walk between the molecules that makeup the rock.
Sara Shepard	Its more fun to think of the future than dwell on the past.
the Oaqui	It's more fun when you're not the only one having it.
Criss Jami	It's much easier on the emotions when one sees life as an experiment rather than a struggle for popularity.
Stephen Chbosky	It's much easier to not know things sometimes. Things change and friends leave. And life doesn't stop for anybody.
George Eliot	It's never too late to be what you might have been.
Steve Maraboli	It's not always what we don't know that gets in our way; sometimes it's what we think we know that keeps us from learning.
Les Brown	It's not over until you win
Lou Holtz	It's not the load that breaks you down, it's the way you carry it.
Roy T. Bennett	It's only after you've stepped outside your comfort zone that you begin to change, grow, and transform. 
Robyn Mundell	It's pretty confusing.
Richard Feynman	I've always been very one-sided about science, and when I was younger, I concentrated almost all my effort on it.
John Barrowman	I've always thought people would find a lot more pleasure in their routines if they burst into song at significant moments.
Audrey Hepburn	I've been lucky. Opportunities don't often come along. So, when they do, you have to grab them.
	I've been smoking nearly fifty years now. I just don't feel safe breathing anything I can't see!
Simon and Garfunkel	I've got nothing to do today but smile.
Mark Twain	I've had a lot of worries in my life, most of which never happened.
C Gordon Bell	I've never seen a job being done by a five-hundred-person engineering team that couldn't be done better by fifty people.
Jim Morrison	I've noticed that when people are joking they're usually dead serious, and when they're serious, they're usually pretty funny.
Dalai Lama XIV	Judge your success by what you had to give up in order to get it.
Vineet Raj Kapoor	Just a grain can bring a bird down from the skies.
Frederico Rochaferreira	Just as graphite and diamonds have the same composition, that which seems quite obvious, may also not be
Taylor Swift	Just be yourself, there is no one better.
Hans Christian Anderson	Just living is not enough," said the butterfly, "one must have sunshine, freedom, and a little flower.
Susan Vreeland	Just think. We're whizzing through the universe.
Genereux Philip	Keep away from the kinship of the individuals who continually ask and examine the imperfections of others.
Cookie Monster	Keep calm and eat cookies.
Roy T. Bennett	Keep your promises and be consistent. Be the kind of person others can trust.
John Green	Keeping the box closed just keeps you in the dark, not the universe... but failing to open the box doesn't kill the cat.
Neil Harbisson	Kids are really inspired to not just apply senses to robots and machines, but to try them on themselves.
George H. W. Bush	Know what you're talking about.
Suzanne Collins	Knowing it and seeing it are two different things.
ThÃ©un Mares	KNOWLEDGE CAN BE ACQUIRED ONLY THROUGH ACTION IN DAILY LIFE.
Rajen Jani	Knowledge if churned like milk, results in the butter of wisdom.
Ludwig Wittgenstein	Knowledge is in the end based on acknowledgement.
Samuel Johnson	Knowledge is more than equivalent to force.
RUFUS CHOATE	Knowledge is power as well as fame.
Lailah Gifty Akita	Knowledge is strength.
	Knowledge must come through action - you can have no test which is not fanciful, save by trial.
Chris Grabenstein	Knowledge not shared remains unknown
Sunday Adelaja	Knowledge will help you to solve any problem
J. P. Vaswani	Knowledge without action is empty as a shadow.
Toni Sorenson	Lace up those shoes, breathe deep, and get out there. You've got miracles to make happen today.
Jim Butcher	Laughter is good for you. Nine out of ten stand-up comedians recommend laughter in the face of intense stupidity.
Wayne Chirisa	Leaders cannot build a successful nation once they are yoked to these two evils, ignorance and greed.
Rajen Jani	Leaders prioritize what they want.
Lolly Daskal	Leadership is developed daily, not in a day.
Dwight Eisenhower	Leadership is the art of getting someone else to do something you want done because he wants to do it.
Sarah Caldwell	Learn everything you can, anytime you can, from anyone you can, there will always come a time when you will be grateful you did.
James Ryan	Learn to live with less so that you appreciate more.
Roy T. Bennett	Learning to distance yourself from all the negativity is one of the greatest lessons to achieve inner peace.
Aquib Ali	Leave stories behind that add to hopes of generations to come.
Ben Shneiderman	Leonardo Da Vinci combined art and science and aesthetics and engineering, that kind of unity is needed once again.
Ralph Waldo Emerson	Let me never fall into the vulgar mistake of dreaming that I am persecuted whenever I am contradicted.
CORNEILLE	Let us attend to the present, and as to the future we shall know how to manage when the occasion arrives.
LOWELL	Let us be of good cheer, remembering that the misfortunes hardest to bear are those which never happen.
Abraham Lincoln	Let us then turn this government back into the channel in which the framers of the Constitution originally placed it.
unknown	Let's get things straight.
Søren Kierkegaard	Life can only be understood backwards; but it must be lived forwards.
Mohammed Sekouty	Life can't break me, I'm built to be shocks absorber
Florida Scott-Maxwell	Life does not accommodate you; it shatters you. Every seed destroys its container, or else there would be no fruition.
Haruki Murakami	Life doesn't require ideals. It requires standards of action.
AAAA	Life doesn't start at some magical point in the future.
Avijeet Das	Life gives us problems not to break us but to test our strength!
E.A. Bucchianeri	Life has a cruel way of reminding one and all it stops for no one and simply marches on, dragging everyone with it.
Cassandra Clare	Life is a book and there are a thousand pages I have not yet read.
Sukant Ratnakar	life is a continous journey of transformation
Diva Jefferson	Life is a journey worth making.
Jim Butcher	Life is a journey. Time is a river. The door is ajar
Janvier Chouteu-Chando	Life is a mighty joke that is not meant to be funny.
Roy T. Bennett	Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.
Stewart Stafford	Life is an endless trial and death its certain verdict, but there are many recesses to enjoy before then.
Helen Keller	Life is either daring adventure or nothing.
Hemant Pandey	Life is essentially a circus and we are just playing our roles. Remember life makes everyone 'joker' once in a while.
Maya Angelou	Life is going to give you just what you put in it. Put your whole heart in everything you do, and pray, then you can wait.
Tapan Ghosh	Life is just a game of Snakes and Ladders. Learn to befriend the snakes.
Winston Groom	Life is like a box of chocolates.
sidney sheldon	Life is like a novel. It's filled with suspense. You have no idea what is going to happen until you turn the page.
Kellie Elmore	Life is like a steering wheel, it only takes one small move to change your entire direction.
Roald Dahl	Life is more fun if you play games.
